project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007160,Cam9 02/10/2024,Cam9,-80.47311,36.34041996,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,22.1,,,,,,,
2007160,PM21 02/10/2024,PM21,-80.46339001,36.33248004,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,19.5,,,,,,,
2007160,PM9 02/10/2024,PM9,-80.48568998,36.34313,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,cam2 02/10/2024,cam2,-80.49789,36.35084999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,good calibration and deer
2007160,Cam5 02/10/2024,Cam5,-80.46870003,36.34690002,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,pm11.2 02/10/2024,PM11.2,-80.48437997,36.33639003,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,19,,,,,,,
2007160,Cam7 02/10/2024,Cam7,-80.4878,36.341747,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,cam26 02/10/2024,cam26,-80.50343002,36.3537,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM6 02/10/2024,PM6,-80.47482996,36.34828999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,11.5,,,,,,,
2007160,Cam20 02/10/2024,Cam20.3,-80.48893,36.33536,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099597,HC500 Hyperfire Semi-Covert IR_,0,Camera Functioning,Knee height,,Parallel,,,,20.6,,,,,,,
2007160,pm1 02/10/2024,pm1,-80.49937997,36.35281999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,Cam15 02/10/2024,Cam15,-80.47439,36.331297,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099596,HC500 Hyperfire Semi-Covert IR,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,cam21 02/10/2024,cam21,-80.49270001,36.35107999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM10,PM10,-80.47781,36.34148,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,27,,,,,,,
2007160,PM8 02/10/2024,PM8,-80.49306,36.34294,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099596,HC500 Hyperfire Semi-Covert IR,0,Camera Functioning,Knee height,,Parallel,,,,17.5,,,,,,,
2007160,Cam19.2 02/10/2024,Cam19.2,-80.491768,36.341473,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099596,HC500 Hyperfire Semi-Covert IR,0,Camera Functioning,Knee height,,Parallel,,,,13.7,,,,,,,
2007160,cam19 02/10/2024,cam19,-80.49818002,36.34523998,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,16.8,,,,,,,
2007160,Cam23,Cam23,-80.47756,36.35205,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,13,,,,,,,PM23
2007160,Cam16 02/10/2024,Cam16,-80.466955,36.331038,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM11 02/10/2024,PM11,-80.47133001,36.34399996,2024-02-10 00:00:00,2024-03-06 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Wildlife Damage,Knee height,,Parallel,,,,,,,,,,,raccoon messed up camera 6 march so no animal pics uploaded after that. Camera orientation was fixed for calibration photos on 23march 
2007160,Cam6  02/10/2024,Cam6 ,-80.47203996,36.35185003,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,Cam3 02/10/2024,Cam3,-80.48366,36.3466,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,0,,,,,,,
2007160,Cam2 02/10/2024,Cam2,-80.49789,36.35084999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM3 02/10/2024,PM3,-80.49638998,36.34815001,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099591,Browning Recon Force Elite,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM16 02/10/2024,Cam16,-80.466955,36.331038,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,looks like a good one (for deer)
2007160,cam23 02/10/2024,cam23,-80.47756003,36.35205003,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,15.2,,,,,,,
2007160,cam12 02/10/2024,cam12,-80.46846902,36.33591796,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,PM22 02/10/2024,PM22,-80.45691004,36.33216999,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,calibration pics trimmed
2007160,PM19 02/10/2024,PM19,-80.47828599,36.33302604,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,Cam1 02/10/2024,Cam1,-80.49078,36.3462,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099596,HC500 Hyperfire Semi-Covert IR,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007160,Cam0 02/10/2024,Cam0,-80.47471,36.33875,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,20.6,,,,,,,
2007160,Cam4 02/10/2024,Cam4,-80.47664003,36.34641998,2024-02-10 00:00:00,2024-03-23 00:00:00,None,,None,,2099587,Reconyx Hyperfire 2,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,calibration photos trimmed